Video ID,Title,Published Date,Description,Tags,Category ID,Duration,Views,Likes,Comments
9nt4oYZAu6Q,Just in from the news desk 📰: The debut of DolphinGemma,2025-04-18T20:32:39Z,"Yes, It’s for real. We’re charting into the realm of interspecies communication. Today, we announce DolphinGemma, our wavebreaking new large language model! Built using Google's advanced AI technology, DolphinGemma functions as an audio-in, audio-out model, processes sequences of natural dolphin sounds to identify patterns, structure, and ultimately predict the likely subsequent sounds in a sequence, much like how large language models for human language predict the next word or token in a sentence. Trained with 40 years of dolphin research from the Wild Dolphin Project’s Dr. Denise Herzing and technical expertise from researchers at Georgia Tech, this model marks our first splash towards interspecies communication! 

Resources: 
Learn more →  goo.gle/DolphinGemma

Subscribe to Google for Developers → https://goo.gle/developers 

Products Mentioned: Gemma, Google AI","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:G4D SV: Educational ;', 'ct: ; ;', 'gds:Yes;']",28,PT46S,2410,97,3
A7lWKDloHmY,POV: You’re prepping for #GoogleIO,2025-04-17T16:00:26Z,"Building the future starts bright and early with an iced coffee hand dunk, rower sprints, a banana power-up, and a deep dive into last year's I/O keynote.

Resources: 
Learn more about Google I/O →https://goo.gle/io2025-yt

Subscribe to Google for Developers → https://goo.gle/developers 

Products Mentioned: Google IO","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: I/O ;', 'ct: ; ;', 'gds:Yes;']",28,PT53S,7178,134,13
44C8u0CDtSo,Getting started with Agent Development Kit,2025-04-16T23:00:04Z,"Ready to build your first AI agent with ADK? This video simplifies the process using Google's open-source Agent Development Kit (ADK). Follow along as we guide you through the initial steps, demonstrating ADK's intuitive code-first framework. Learn the fundamentals of agent definition, essential concepts like the Runner and Services, and how easily you can run and debug your agent locally using the built-in web UI (adk web) or CLI (adk run). We'll build a sample YouTube Shorts agent to get you started quickly.

Chapters: 
0:00 - Intro 
0:26 - What is ADK?
1:17 - Sample agent architecture 
2:28 - LLM Agent 
6:30 - Different ways to run the ADK Agent 
7:11 - ADK run
7:50 - ADK web 
9:33 - Different types of Agents 
10:50 - Loop Agent: 
12:06 - Testing Loop Agent:  
13:20 - Runner, Services and Event loop 
16:17 - Run your agent programmatically 
18:00 - Recap 

Resources: 
Get Started → https://google.github.io/adk-docs
Sample Agents → https://goo.gle/3Rbdo4s 

Subscribe to Google for Developers → https://goo.gle/developers 

Products mentioned: Agent Development Kit","['Google', 'developers']",28,PT18M45S,30109,1063,60
vLHwDTNfxdE,Build an agent-powered travel planning app with Generative AI,2025-04-16T21:36:56Z,"Learn how to use Flutter and Firebase Genkit to build multi-platform apps that can seamlessly integrate with AI.

Resources:

Check out these solutions → https://goo.gle/4hTcpAT 

Subscribe to Google for Developers → https://goo.gle/developers


Speaker: Tom Greenaway
Products Mentioned: Firebase, Google Cloud","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ; ;', 'gds:Yes;']",28,PT5M,6173,175,8
X_1zsJfYLMA,Building Agentic apps with Firebase and Google Cloud,2025-04-16T16:00:04Z,"Learn how to build an agentic coffee ordering agent with Firebase and Google Cloud.

Resources:

Check out the solution → https://goo.gle/3QMpf8X 

Subscribe to Google for Developers → https://goo.gle/developers

Speaker: Emma Twersky 
Products Mentioned: Firebase, Google Cloud","['Google', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Video Type:DevByte;', 'ct: ; ;', 'gds:Yes;']",28,PT4M11S,8815,300,16
eGsKwMSA6Ic,“Why is my website loading so slowly?”,2025-04-16T04:00:49Z,"There are MANY reasons why your website may have high latency. Overcaching? Versioning?  See what solutions work for your website. 

Subscribe to Google for Developers → https://goo.gle/developers 

Speakers: Meg Bauman","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: ; ;', 'gds:Yes;']",28,PT1M3S,4339,295,17
5e13FdKeTsE,New Google Pay button for Flutter?,2025-04-15T04:00:04Z,"The latest version on the Pay package for Flutter is here! See how you can increase conversions in your check out forms. 

Subscribe to Google for Developers → https://goo.gle/developers  

Speaker: Jose Ugia 
Products Mentioned: Google Pay","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: ; ;', 'gds:Yes;']",28,PT1M1S,3957,224,2
QhhZt1wUtyo,Why are these login counts incorrect? Can you identify the problem? Go!,2025-04-14T13:00:45Z,"Find the problem in this simple query. Here's our scenario: Your global application is tracking user logins, but the numbers don't match what users are seeing. What's going wrong? Share your solution in the comments.

Subscribe to Google for Developers → https://goo.gle/developers 

Speakers: Amanda Stanton","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: ;;', 'gds:Yes;']",28,PT26S,5911,127,15
SqmOgdvfvSk,Unique challenges that mobile devs face? How is Android helping?,2025-04-12T04:00:23Z,"Get a glimpse into the common woes mobile devs face, and also get sneak peak at how Android is helping devs get a better end user experience. 

Subscribe to Google for Developers → https://goo.gle/developers 

Speaker: Simon Cooke 
Products Mentioned: Android","['Google', 'developers', 'pr_pr: Google for Developers;', 'Purpose: Learn;', 'Campaign: ;', 'Video Type:G4D SV: Educational ;', 'ct: ; ;', 'gds:Yes;']",28,PT46S,4580,122,2
OMwlK_5iRRc,Google Developer Experts build more with Google AI,2025-04-11T22:57:35Z,"See real examples of Google AI through the eyes of Google Developer Experts (GDEs) from around the globe. In this video, you'll see what these community leaders have built using Gemini and Google Cloud technologies, like a command line generator, code reviewer, and a blood pressure tracker. All GDEs are part of the Google Developer Program, where they can access exclusive resources and take their AI skills to the next level. If you're interested in bringing your vision to life with Google AI like GDEs, check out the Google Developer Program. 

Resources: 
Check out the Google Developer Program → https://goo.gle/42hle1A

Subscribe to Google for Developers → https://goo.gle/developers","['Google', 'developers', 'Tags\npr_pr: Google Developer Groups;', 'Purpose: Learn;', 'Video Type:Trailer/Promo;', 'ct: ; ;', 'gds:N/A;']",28,PT1M48S,3298,59,7
